Modelo,RMSE,MAE,R2
M0 (temporal),241.14142634561983,115.08883666992188,0.13625586032867432
"M1 (efectos fijos, entero)",70.22617617607055,34.70608901977539,0.9267446398735046
M2 (estructural),65.8569227746313,28.740678787231445,0.9355764985084534
"M3 (M2 + rezago 7d, filas con rezago)",55.5850585181733,22.30048370361328,0.9542072415351868
Random Forest (M2),109.70329535134839,55.58093667423502,0.8212356900333695
LightGBM (M2),72.50526411021164,35.6962025337592,0.9219126746347931
