estacion,cluster,ipd_mean,ipd_max
21 Ángeles,0,0.03651568578236498,0.16574187947333774
7 de agosto,0,0.11909786192157484,0.4545053812565529
AV. 68,0,0.14907569420381497,0.6129672450093724
AV. Chile,3,0.17901372138885066,0.8775503595453937
AV. Jiménez,3,0.17290005233126923,0.6542416217436968
AV. Rojas - UNISALESIANA,0,0.08658218643239156,0.3469046283867479
AV. Suba - Calle 116,0,0.108538421318567,0.488252656876784
Alcalá - Col. S. Tomás Dominicos,0,0.1199651364862291,0.37003883806689614
Alquería,0,0.13065212502624804,0.3235740637769169
Banderas,1,0.28304820044102524,1.1191266648669822
Biblioteca,0,0.050716181418426466,0.17899153569541143
Biblioteca Tintal,0,0.11621995504465044,0.6447303932650345
Bicentenario,0,0.04264680187822548,0.1801551100630167
Bosa,1,0.1799938055347269,0.9853599969391693
Boyacá,0,0.14684113806965976,0.39242169982496977
C. Universitaria - Lotería de Btá.,0,0.08292965618798494,0.2409294055662732
CAD,0,0.15462622122178213,0.7518017436228608
CAN - British Council,0,0.1206120770329585,0.5790143556732129
CDS - Cra. 32,0,0.10547157956070587,0.5364511039059658
Calle 100 - Marketmedios,3,0.38506388510546624,1.7246846306217205
Calle 106,0,0.11142986687514063,0.37707858898764873
Calle 127,0,0.14182140937008036,0.5226147746757722
Calle 142,0,0.06573914123635576,0.20232833402984463
Calle 146,0,0.07940425387621841,0.3031790118597225
Calle 161,0,0.09931520818951034,0.43121007995665783
Calle 187,3,0.1526075834060611,0.7393929229490065
Calle 19,0,0.0634843015394943,0.27104540714936104
Calle 26,0,0.09716422046084701,0.5599605736881033
Calle 63,3,0.3234367229355109,0.8912662134235204
Calle 72,3,0.16588817275914794,0.663538866315782
Calle 76,3,0.21605472345128549,0.9180013783470897
Campín - UAN,3,0.2012977634448759,0.7657964975555982
Centro Memoria,0,0.07024845580007895,0.3211938914368705
Comuneros,3,0.24637634930700822,0.6946946458449526
Concejo de Bogotá,0,0.04759810698714148,0.18164222961594273
Consuelo,0,0.02736106638521117,0.14546091224856117
Corferias,0,0.10528095289943203,0.39351701465858363
Country Sur,0,0.1324120548299423,0.6173707656420746
Danubio,0,0.03247664901141571,0.1606743193197692
El Tiempo - CCB,0,0.12106966511913247,0.5348834542825452
Escuela Militar,0,0.02054152603550796,0.09582311454035745
Fucha,0,0.10423297321996079,0.25368702751263533
Gobernación,0,0.10602090480172455,0.6196690654708682
Gral. Santander,0,0.06748700262249098,0.2975082434243945
Granja - KR 77,0,0.044583317532222895,0.1700392083413654
Gratamira,0,0.03081986280030463,0.11728797432401726
Hortúa,0,0.10841674821831766,0.2765405042431974
Hospital,0,0.027356244943523757,0.06167950720262454
