ruta,tipo,corredor,orden,estacion
H75,EX,H,23,Portal Usme
H76,EX,H,1,Universidades - CityU
H76,EX,H,2,Calle 19
H76,EX,H,3,AV. Jiménez
H76,EX,H,4,Tercer Milenio
H76,EX,H,5,Restrepo
H76,EX,H,6,Calle 40 S.
H76,EX,H,7,Santa Lucía
H76,EX,H,8,Socorro
H76,EX,H,9,Consuelo
H76,EX,H,10,Molinos
H76,EX,H,11,Danubio
H76,EX,H,12,Portal Usme
H83,EX,H,1,Portal Usme
H83,EX,H,2,Danubio
H83,EX,H,3,Consuelo
H83,EX,H,4,Quiroga
H83,EX,H,5,AV. 1° de Mayo
H83,EX,H,6,Policarpa
H83,EX,H,7,Bicentenario
H83,EX,H,8,San Victorino
H83,EX,H,9,San Diego
H83,EX,H,10,Museo Nacional - FNG
J23,EX,J,1,Portal Américas
J23,EX,J,2,Patio Bonito
J23,EX,J,3,Biblioteca Tintal
J23,EX,J,4,Banderas
J23,EX,J,5,AV. Américas - AV. Boyacá
J23,EX,J,6,Pradera - Plaza Central
J23,EX,J,7,Puente Aranda
J23,EX,J,8,Ricaurte
J23,EX,J,9,San Façon - KR 22
J23,EX,J,10,AV. Jiménez
J23,EX,J,11,Museo del Oro
J23,EX,J,12,Las Aguas - C. Col Americano
J24,EX,J,1,Portal 80
J24,EX,J,2,KR. 90
J24,EX,J,3,AV. Cali
J24,EX,J,4,Granja - KR 77
J24,EX,J,5,Minuto de Dios
J24,EX,J,6,KR 47
J24,EX,J,7,Escuela Militar
J24,EX,J,8,Calle 76
J24,EX,J,9,Calle 72
J24,EX,J,10,Temporal - Calle 57
J24,EX,J,11,Temporal - Marly
J24,EX,J,12,AV. 39
J24,EX,J,13,Universidades - CityU
J70,EX,J,1,Portal Norte
J70,EX,J,2,Toberín - Foundever
J70,EX,J,3,Mazurén
J70,EX,J,4,Calle 146
J70,EX,J,5,Calle 142
J70,EX,J,6,Alcalá - Col. S. Tomás Dominicos
J70,EX,J,7,Prado
J70,EX,J,8,Calle 127
J70,EX,J,9,CAD
J70,EX,J,10,AV. Jiménez
J70,EX,J,11,Museo del Oro
J70,EX,J,12,Las Aguas - C. Col Americano
J73,EX,J,1,Portal Suba
J73,EX,J,2,La Campiña
J73,EX,J,3,Suba - TV 91
J73,EX,J,4,Niza - Calle 127
J73,EX,J,5,Puentelargo
J73,EX,J,6,Suba - Calle 100
J73,EX,J,7,San Martín
J73,EX,J,8,C. Universitaria - Lotería de Btá.
J73,EX,J,9,Centro Memoria
J73,EX,J,10,Universidades - CityU
J74,EX,J,1,Portal Norte
J74,EX,J,2,Toberín - Foundever
J74,EX,J,3,Mazurén
J74,EX,J,4,Calle 146
J74,EX,J,5,Calle 142
J74,EX,J,6,Prado
J74,EX,J,7,Virrey
J74,EX,J,8,Héroes
J74,EX,J,9,Temporal - Calle 57
J74,EX,J,10,Calle 45 - American School Way
J74,EX,J,11,AV. 39
J74,EX,J,12,Calle 26
J74,EX,J,13,Calle 19
J74,EX,J,14,Universidades - CityU
J76,EX,J,1,Portal Usme
J76,EX,J,2,Danubio
J76,EX,J,3,Consuelo
J76,EX,J,4,Socorro
J76,EX,J,5,Santa Lucía
J76,EX,J,6,Calle 40 S.
J76,EX,J,7,Restrepo
J76,EX,J,8,Tercer Milenio
J76,EX,J,9,AV. Jiménez
J76,EX,J,10,Calle 19
J76,EX,J,11,Universidades - CityU
K10,EX,K,1,Portal 20 de Julio
K10,EX,K,2,AV. 1° de Mayo
K10,EX,K,3,Ciudad Jardín - UAN
K10,EX,K,4,San Bernardo
K10,EX,K,5,Bicentenario
K10,EX,K,6,San Victorino
K10,EX,K,7,Las Nieves
K10,EX,K,8,Centro Memoria
K10,EX,K,9,C. Universitaria - Lotería de Btá.
K10,EX,K,10,Gobernación
K10,EX,K,11,CAN - British Council
K10,EX,K,12,Salitre - El Greco
K10,EX,K,13,Normandía
K10,EX,K,14,Modelia
K10,EX,K,15,Portal Eldorado - C.C. NUESTRO BOGOTÁ
K16,EX,K,1,Terminal
K16,EX,K,2,Calle 187
K16,EX,K,3,Toberín - Foundever
K16,EX,K,4,Mazurén
K16,EX,K,5,Alcalá - Col. S. Tomás Dominicos
K16,EX,K,6,Pepe Sierra
K16,EX,K,7,AV. Chile
K16,EX,K,8,AV. El Dorado
K16,EX,K,9,Corferias
K16,EX,K,10,Quinta Paredes
K16,EX,K,11,Gobernación
K16,EX,K,12,CAN - British Council
K16,EX,K,13,Salitre - El Greco
K16,EX,K,14,El Tiempo - CCB
K16,EX,K,15,AV. Rojas - UNISALESIANA
K16,EX,K,16,Modelia
K16,EX,K,17,Portal Eldorado - C.C. NUESTRO BOGOTÁ
K23,EX,K,1,Alcalá - Col. S. Tomás Dominicos
K23,EX,K,2,Prado
K23,EX,K,3,Calle 127
K23,EX,K,4,Calle 85 - GATO DUMAS
K23,EX,K,5,Temporal - Calle 57
K23,EX,K,6,Temporal - Marly
K23,EX,K,7,Calle 45 - American School Way
K23,EX,K,8,Temporal - Calle 34
K23,EX,K,9,Calle 26
K23,EX,K,10,Concejo de Bogotá
K23,EX,K,11,C. Universitaria - Lotería de Btá.
K23,EX,K,12,Gobernación
K23,EX,K,13,CAN - British Council
K23,EX,K,14,Salitre - El Greco
K23,EX,K,15,El Tiempo - CCB
K23,EX,K,16,AV. Rojas - UNISALESIANA
K23,EX,K,17,Portal Eldorado - C.C. NUESTRO BOGOTÁ
K43,EX,K,1,San Mateo
K43,EX,K,2,Terreros - Hospital C.V.
K43,EX,K,3,León XIII
K43,EX,K,4,La Despensa
K43,EX,K,5,Venecia
K43,EX,K,6,Gral. Santander
K43,EX,K,7,SENA
K43,EX,K,8,Ricaurte
K43,EX,K,9,CAD
K43,EX,K,10,Corferias
K43,EX,K,11,Quinta Paredes
K43,EX,K,12,Gobernación
K43,EX,K,13,Salitre - El Greco
K43,EX,K,14,El Tiempo - CCB
K43,EX,K,15,Normandía
K43,EX,K,16,Modelia
K43,EX,K,17,Portal Eldorado - C.C. NUESTRO BOGOTÁ
K54,EX,K,1,Portal Usme
K54,EX,K,2,Danubio
K54,EX,K,3,Molinos
K54,EX,K,4,Calle 40 S.
K54,EX,K,5,Restrepo
K54,EX,K,6,Hortúa
K54,EX,K,7,AV. Jiménez
K54,EX,K,8,Concejo de Bogotá
K54,EX,K,9,C. Universitaria - Lotería de Btá.
K54,EX,K,10,Corferias
K54,EX,K,11,Quinta Paredes
K54,EX,K,12,CAN - British Council
K54,EX,K,13,Salitre - El Greco
K54,EX,K,14,El Tiempo - CCB
K54,EX,K,15,AV. Rojas - UNISALESIANA
K54,EX,K,16,Modelia
K54,EX,K,17,Portal Eldorado - C.C. NUESTRO BOGOTÁ
K86,EX,K,1,AK 7 - CL 118
K86,EX,K,2,AK 7 - CL 116
K86,EX,K,3,AK 7 - CL 101
K86,EX,K,4,AK 7 - CL 94
K86,EX,K,5,AK 7 - CL 90
K86,EX,K,6,AK 7 - CL 86
K86,EX,K,7,AK 7 - CL 81
K86,EX,K,8,AK 7 - CL 74
K86,EX,K,9,AK 7 - CL 71
K86,EX,K,10,AK 7 - CL 66
K86,EX,K,11,AK 7 - CL 60
K86,EX,K,12,AK 7 - CL 55
K86,EX,K,13,AK 7 - CL 51
K86,EX,K,14,AK 7 - CL 40
K86,EX,K,15,Museo Nacional - FNG
K86,EX,K,16,Concejo de Bogotá
K86,EX,K,17,Corferias
K86,EX,K,18,Gobernación
K86,EX,K,19,CAN - British Council
K86,EX,K,20,El Tiempo - CCB
K86,EX,K,21,AV. Rojas - UNISALESIANA
K86,EX,K,22,Portal Eldorado- C.C. NUESTRO BOGOTÁ
K86,EX,K,23,AC 26 KR 103
K86,EX,K,24,Puente Aéreo
K86,EX,K,25,AC 26 KR 106
K86,EX,K,26,Aeropuerto El Dorado
L10,EX,L,1,Portal Eldorado - C.C. NUESTRO BOGOTÁ
L10,EX,L,2,Modelia
L10,EX,L,3,Normandía
L10,EX,L,4,Salitre - El Greco
L10,EX,L,5,CAN - British Council
L10,EX,L,6,Gobernación
L10,EX,L,7,C. Universitaria - Lotería de Btá.
L10,EX,L,8,Centro Memoria
L10,EX,L,9,Las Nieves
L10,EX,L,10,San Victorino
L10,EX,L,11,Bicentenario
L10,EX,L,12,San Bernardo
L10,EX,L,13,Ciudad Jardín - UAN
L10,EX,L,14,AV. 1° de Mayo
L10,EX,L,15,Portal 20 de Julio
L18,EX,L,1,Terminal
L18,EX,L,2,Calle 187
L18,EX,L,3,Alcalá - Col. S. Tomás Dominicos
L18,EX,L,4,Calle 127
L18,EX,L,5,Pepe Sierra
L18,EX,L,6,Virrey
L18,EX,L,7,Calle 76
L18,EX,L,8,Calle 63
L18,EX,L,9,Calle 45 - American School Way
L18,EX,L,10,Temporal - Calle 34
L18,EX,L,11,AV. Jiménez
L18,EX,L,12,Tercer Milenio
L18,EX,L,13,Bicentenario
L18,EX,L,14,San Bernardo
L18,EX,L,15,AV. 1° de Mayo
L18,EX,L,16,Country Sur
L18,EX,L,17,Portal 20 de Julio
L25,EX,L,1,Portal Suba
L25,EX,L,2,La Campiña
L25,EX,L,3,Suba - TV. 91
L25,EX,L,4,21 Ángeles
L25,EX,L,5,Suba - AV. Boyacá
L25,EX,L,6,Niza - Calle 127
L25,EX,L,7,AV. Suba - Calle 95
L25,EX,L,8,San Martín
L25,EX,L,9,NQS - Calle 75
L25,EX,L,10,AV. Chile
L25,EX,L,11,Movistar Arena
L25,EX,L,12,Campín - UAN
L25,EX,L,13,Ricaurte
L25,EX,L,14,Guatoque - Veraguas
L25,EX,L,15,Tygua - San José
L25,EX,L,16,Bicentenario
L25,EX,L,17,San Bernardo
L25,EX,L,18,AV 1° de Mayo
L25,EX,L,19,Country Sur
L25,EX,L,20,Portal 20 de Julio
L81,DU,M,1,AC 80 - KR 119
L81,DU,M,2,AC 80 - KR 114
L81,DU,M,3,AC 80 - KR 112Bis
L81,DU,M,4,AC 80 - KR 110
L81,DU,M,5,AC 80 - TV. 106
L81,DU,M,6,AV. 68
L81,DU,M,7,KR 47
L81,DU,M,8,Polo - FINCOMERCIO
L81,DU,M,9,AC 85 - KR 13
L81,DU,M,10,KR 11 - CL 78
L81,DU,M,11,AC 72 - KR 10
L81,DU,M,12,AK 7 - CL 71
L81,DU,M,13,AK 7 - CL 66
L81,DU,M,14,AK 7 - CL 61
L81,DU,M,15,AK 7 - CL 56
L81,DU,M,16,AK 7 - CL 51
L81,DU,M,17,AK 7 - CL 45
L81,DU,M,18,AK 7 - CL 40
L81,DU,M,19,AK 7 - CL 36
L81,DU,M,20,AK 7 - CL 33
L81,DU,M,21,Museo Nacional - FNG
L81,DU,M,22,San Victorino
L81,DU,M,23,Bicentenario
L81,DU,M,24,AV. 1° de Mayo
L81,DU,M,25,Country Sur
L81,DU,M,26,Portal 20 de Julio
L82,DU,M,1,AK 7 - AC 134
L82,DU,M,2,AK 7 - CL 132
L82,DU,M,3,AK 7 - CL 127B
L82,DU,M,4,AK 7 - CL 124
L82,DU,M,5,AK 7 - CL 118
L82,DU,M,6,AK 7 - CL 116
L82,DU,M,7,AK 7 - CL 110
L82,DU,M,8,AK 7 - CL 106
L82,DU,M,9,AK 7 - CL 101
L82,DU,M,10,AK 7 - CL 97A
L82,DU,M,11,AK 7 - CL 94
L82,DU,M,12,AK 7 - CL 90
L82,DU,M,13,AK 7 - CL 79
L82,DU,M,14,AK 7 - CL 74
L82,DU,M,15,San Diego
L82,DU,M,16,Bicentenario
L82,DU,M,17,AV. 1° de Mayo
L82,DU,M,18,Country Sur
L82,DU,M,19,Portal 20 de Julio
M82,DU,M,1,Portal 20 de Julio
M82,DU,M,2,Country Sur
M82,DU,M,3,AV. 1° de Mayo
M82,DU,M,4,Bicentenario
M82,DU,M,5,San Diego
M82,DU,M,6,AK 7 - CL 78
M82,DU,M,7,AK 7 - CL 92
M82,DU,M,8,AK 7 - CL 94
M82,DU,M,9,AK 7 - CL 100
M82,DU,M,10,AK 7 - CL 106
M82,DU,M,11,AK 7 - CL 110
M82,DU,M,12,AK 7 - CL 116
M82,DU,M,13,AK 7 - CL 119B
M82,DU,M,14,AK 7 - CL 124
M82,DU,M,15,AK 7 - CL 127B
M82,DU,M,16,AK 7 - CL 130B
M82,DU,M,17,AK 7 - AC 134
M83,DU,M,1,Portal Usme
M83,DU,M,2,Danubio
M83,DU,M,3,Consuelo
M83,DU,M,4,Quiroga
M83,DU,M,5,AV. 1° de Mayo
M83,DU,M,6,Policarpa
M83,DU,M,7,Bicentenario
M83,DU,M,8,San Victorino
M83,DU,M,9,San Diego
M83,DU,M,10,Museo Nacional - FNG
M84,DU,M,1,AV. Suba - KR 114D
M84,DU,M,2,AV. Suba - KR 110
M84,DU,M,3,21 Ángeles
M84,DU,M,4,Puentelargo
M84,DU,M,5,Polo - FINCOMERCIO
M84,DU,M,6,CL 85 - KR 16A
M84,DU,M,7,CL 85 - KR 11
M84,DU,M,8,KR 11 - CL 78
M84,DU,M,9,CL 72 - KR 10
M84,DU,M,10,KR 7 - CL 73
M85,DU,P,1,AK 68 - CL 9A
M85,DU,P,2,AK 68 - CL 12
M85,DU,P,3,AK 68 - CL 13
M85,DU,P,4,AK 68 - CL 19
M85,DU,P,5,Salitre - El Greco
M85,DU,P,6,CAN - British Council
M85,DU,P,7,Quinta Paredes
M85,DU,P,8,Centro Memoria
M85,DU,P,9,Museo Nacional - FNG
M86,EX,K,1,Portal Eldorado - C.C. NUESTRO BOGOTÁ
M86,EX,K,2,AV. Rojas - UNISALESIANA
M86,EX,K,3,El Tiempo - CCB
M86,EX,K,4,CAN - British Council
M86,EX,K,5,Gobernación
M86,EX,K,6,Corferias
M86,EX,K,7,Concejo de Bogotá
M86,EX,K,8,San Diego
M86,EX,K,9,Museo Nacional - FNG
M86,EX,K,10,AK 7 - CL 40
M86,EX,K,11,AK 7 - CL 50
M86,EX,K,12,AK 7 - CL 57
M86,EX,K,13,AK 7 - CL 61
M86,EX,K,14,AK 7 - CL 66
M86,EX,K,15,AK 7 - CL 70A
M86,EX,K,16,AK 7 - CL 82
M86,EX,K,17,AK 7 - CL 87
M86,EX,K,18,AK 7 - CL 92
M86,EX,K,19,AK 7 - CL 94
M86,EX,K,20,AK 7 - CL 100
M86,EX,K,21,AK 7 - CL 116
P85,DU,P,1,Museo Nacional - FNG
P85,DU,P,2,San Diego
P85,DU,P,3,San Victorino
P85,DU,P,4,Bicentenario
P85,DU,P,5,Policarpa
P85,DU,P,6,AV. 1° de Mayo
P85,DU,P,7,Quiroga
P85,DU,P,8,Consuelo
P85,DU,P,9,Danubio
P85,DU,P,10,Portal Usme
C17,EX,C,1,Portal Usme
C17,EX,C,2,Danubio
C17,EX,C,3,Consuelo
C17,EX,C,4,Socorro
C17,EX,C,5,Santa Lucía
C17,EX,C,6,Quiroga
C17,EX,C,7,Restrepo
C17,EX,C,8,Hortúa
C17,EX,C,9,Guatoque - Veraguas
C17,EX,C,10,Paloquemao
C17,EX,C,11,AV. El Dorado
C17,EX,C,12,U. Nacional
C17,EX,C,13,7 de agosto
C17,EX,C,14,San Martín
C17,EX,C,15,Suba - Calle 95
C17,EX,C,16,Suba - Calle 100
C17,EX,C,17,Puentelargo
C17,EX,C,18,AV. Suba - Calle 116
C17,EX,C,19,Niza - Calle 127
C17,EX,C,20,Suba - TV 91
C17,EX,C,21,La Campiña
C17,EX,C,22,Portal Suba
D81,DU,D/M,1,Portal 20 de Julio
D81,DU,D/M,2,Country Sur
D81,DU,D/M,3,AV. 1° de Mayo
D81,DU,D/M,4,Bicentenario
D81,DU,D/M,5,San Victorino
D81,DU,D/M,6,Museo Nacional - FNG
D81,DU,D/M,7,AK 7 - CL 34
D81,DU,D/M,8,AK 7 - CL 37
D81,DU,D/M,9,AK 7 - CL 40
D81,DU,D/M,10,AK 7 - CL 45
D81,DU,D/M,11,AK 7 - CL 50
D81,DU,D/M,12,AK 7 - CL 57
D81,DU,D/M,13,AK 7 - CL 61
D81,DU,D/M,14,AK 7 - CL 66
D81,DU,D/M,15,AK 7 - CL 70A
D81,DU,D/M,16,AK 7 - CL 73
D81,DU,D/M,17,CL 76 - KR 11
D81,DU,D/M,18,Polo - FINCOMERCIO
D81,DU,D/M,19,KR 47
D81,DU,D/M,20,AV. 68
D81,DU,D/M,21,AC 80 - KR 107
D81,DU,D/M,22,AC 80 - KR 109A
D81,DU,D/M,23,AC 80 - KR 111C
D81,DU,D/M,24,AC 80 - KR 114
