Ruta,Descripcion,Orden_Parada,Estacion,Latitud,Longitud
3,Corferias,6,Quiroga A - 3,4.5767432508620605,-74.11452496234341
3,Portal Tunal,6,Av. Jiménez C - 2 ó 5-T,4.600603436584692,-74.0820635451737
3,Corferias,7,Olaya B - 4,4.578923242252794,-74.10723876763181
3,Portal Tunal,7,Hortúa B - 1,4.590941491070894,-74.09022274316344
3,Corferias,8,Restrepo A - 4 ó 6,4.581702259022253,-74.10161943110774
3,Portal Tunal,8,Nariño A - 2,4.586116145853549,-74.09415908480082
3,Corferias,9,Fucha A - 3 ó 6,4.582740133558555,-74.09973415215156
3,Portal Tunal,9,Fucha B - 1 ó 5,4.58301109289646,-74.09940929923684
3,Corferias,10,Nariño A - 3,4.586115997180124,-74.0940418990865
3,Portal Tunal,10,Restrepo A - 2 ó 5,4.581657314176504,-74.101844843786
3,Corferias,11,Hortúa B - 4,4.590950421674349,-74.09013258834065
3,Portal Tunal,11,Olaya B - 1,4.578941536046361,-74.10740100132078
3,Corferias,12,Av. Jiménez B - 4 ó 6-T,4.600197181055065,-74.08228755163105
3,Portal Tunal,12,Quiroga A - 2,4.576779634240483,-74.11468717382722
3,Corferias,13,Calle 22 A - 4 ó 6-T,4.609349848479991,-74.07586886206866
3,Portal Tunal,13,Calle 40 S. B - 2 ó 5,4.575818531159827,-74.12018703380765
3,Corferias,14,Centro Memoria A - 4 ó 6,4.620361628361522,-74.07626790889582
3,Portal Tunal,14,Santa Lucía A - 2 ó 5,4.570460237984843,-74.12491699863381
3,Corferias,15,Concejo de Bogotá A - 4 ó 6,4.625862610782159,-74.08018996504886
3,Portal Tunal,15,Biblioteca A - 2 ó 5,4.570428951281382,-74.1304680231485
3,Corferias,16,Ciudad Universitaria A - 4 ó 6,4.630762662713255,-74.08346438453961
3,Portal Tunal,16,Parque A - 2 ó 5,4.568383822018076,-74.13574552981741
3,Corferias,17,Corferias A - 3 ó 6,4.634350604811764,-74.08968970606547
3,Portal Tunal,17,Portal Tunal T5,4.570810055795081,-74.13948083533828
4,Héroes,1,Portal Sur T2,4.596934159677683,-74.16958279356051
4,Portal Sur,1,Héroes B - 2,4.668061094658749,-74.06042786360786
4,Héroes,2,Perdomo B - 3,4.595736308201025,-74.16462235899884
4,Portal Sur,2,Polo C - 4 ó 6,4.670889307652272,-74.06493718108635
4,Héroes,3,Madelena B - 3,4.596242571394136,-74.15668893405159
4,Portal Sur,3,Escuela Militar B - 4 ó 6,4.675871452590893,-74.07027125899842
4,Héroes,4,Sevillana A - 3,4.595101107675524,-74.14765769463835
4,Portal Sur,4,NQS - Calle 75 A - 2 ó 5,4.669460572335146,-74.07208276542883
4,Héroes,5,Venecia B - 3,4.5955562424768335,-74.14249182195125
4,Portal Sur,5,Av. Chile A - 1,4.66573797103245,-74.0752339798975
4,Héroes,6,Alquería A - 3,4.594271012711683,-74.13439832820795
4,Portal Sur,6,7 de Agosto A - 2 ó 5,4.65669933479589,-74.07778419116312
4,Héroes,7,G. Santander B - 4 ó 6,4.593523570020519,-74.12972071185939
4,Portal Sur,7,Movistar Arena B - 2 ó 5,4.650043838290884,-74.07837147985931
4,Héroes,8,NQS - Calle 38A Sur A - 3,4.593769760325157,-74.123933120017
4,Portal Sur,8,Campín-UAN B - 2 ó 5,4.645542258131606,-74.07871814240622
4,Héroes,9,NQS - Calle 30 Sur B - 3,4.594793349231611,-74.11775695578095
4,Portal Sur,9,U. Nacional A - 2 ó 5,4.636162389484685,-74.07941660920172
4,Héroes,10,Santa Isabel A - 4 ó 6,4.601360113670943,-74.10297405999137
4,Portal Sur,10,Av. El Dorado B - 2 ó 5,4.630347472865611,-74.0799466775379
4,Héroes,11,Comuneros B - 4 ó 6,4.604548908921148,-74.09956256732251
4,Portal Sur,11,CAD B - 2 ó 5,4.623506838745649,-74.08414146090114
4,Héroes,12,Ricaurte B - 4 ó 6,4.61162440332076,-74.09388346311344
4,Portal Sur,12,Paloquemao A - 1,4.61652553015372,-74.08991493901847
4,Héroes,13,Paloquemao B - 4 ó 6,4.6171058889546135,-74.08937191580938
4,Portal Sur,13,Ricaurte A - 2 ó 5,4.61092874200755,-74.09453581265294
4,Héroes,14,CAD A - 4 ó 6,4.623183225168414,-74.08435157054778
4,Portal Sur,14,Comuneros B - 2 ó 5,4.604355134877791,-74.09980864034574
4,Héroes,15,Av. El Dorado A - 3 ó 6,4.629957123318237,-74.07996185078647
4,Portal Sur,15,Santa Isabel A - 2 ó 5,4.60132411299446,-74.10311833726632
4,Héroes,16,U. Nacional A - 4 ó 6,4.63634660455689,-74.07935346355062
4,Portal Sur,16,NQS - Calle 30 Sur B - 1,4.594802606880092,-74.11792821927507
4,Héroes,17,Campín-UAN B - 4 ó 6,4.645842269194753,-74.07866763372347
4,Portal Sur,17,NQS - Calle 38A Sur A - 1,4.593792394355769,-74.1241057911866
4,Héroes,18,Movistar Arena B - 4 ó 6,4.6503464997288,-74.07831921088052
4,Portal Sur,18,G. Santander C - 2 ó 5,4.593631765976351,-74.12943211731208
4,Héroes,19,7 de Agosto A - 4 ó 6,4.65699418966736,-74.07771556289292
4,Portal Sur,19,Alquería A - 1,4.594361655715253,-74.13455146540997
4,Héroes,20,Av. Chile A - 3,4.665728581031054,-74.07497254964609
4,Portal Sur,20,Venecia B - 1,4.595602765948029,-74.14263151658527
4,Héroes,21,NQS - Calle 75 B - 4 ó 6,4.670065571853899,-74.07128862334514
4,Portal Sur,21,Sevillana A - 1,4.595182680892634,-74.14779281588683
4,Héroes,22,Escuela Militar B - 2 ó 5,4.675626900673885,-74.07002816633627
4,Portal Sur,22,Madelena B - 1,4.59630607297383,-74.1568421072268
4,Héroes,23,Polo A - 2 ó 5,4.669452943739475,-74.06378265999004
4,Portal Sur,23,Perdomo B - 1,4.595817910277007,-74.16478452660459
4,Héroes,24,Héroes A - 4 ó 6,4.6676448815056055,-74.06033826477082
4,Portal Sur,24,Portal Sur T2,4.596934159677683,-74.16958279356051
5,Portal Américas,1,Av. Jiménez B - 4 ó 6-T,4.600197181055065,-74.08228755163105
5,Portal Américas,2,Av. Jiménez E - 3,4.602771779980648,-74.07870877170251
5,Portal Américas,3,De la Sabana B - 4,4.605657329040987,-74.08213607214282
5,Av. Jiménez,4,Banderas T6A,4.631236631169111,-74.14585667945973
